doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1953_Magali_La-voyageuse-clandestine,1953,magali,la voyageuse clandestine,False,female,1986,non-canon
1953_Delly_Gwen-princesse-d'Orient,1953,delly,gwen princesse d'orient,False,female,1947,non-canon
1953_San-Antonio_Des-dragees-sans-bapteme,1953,antonio san,des dragees sans bapteme,False,male,2000,non-canon
1953_Simenon-Georges_Maigret-a-peur,1953,georges simenon,maigret a peur,True,male,1989,canon
1953_Simenon-Georges_Maigret-et-l-homme-du-banc,1953,georges simenon,maigret et l homme du banc,True,male,1989,canon
1953_Delly_Le-repaire-des-fauves,1953,delly,le repaire des fauves,False,female,1947,non-canon
1953_San-Antonio_Descendez-le-a-la-prochaine,1953,antonio san,descendez le a la prochaine,False,male,2000,non-canon
1953_Robbe-Grillet-Alain_Les-Gommes,1953,grillet alain robbe,les gommes,True,male,2008,canon
1954_Simenon-Georges_Maigret-a-l-ecole,1954,georges simenon,maigret a l ecole,True,male,1989,canon
1954_Delly_Un-amour-de-prince,1954,delly,un amour de prince,False,female,1947,non-canon
1954_Simenon-Georges_Maigret-chez-le-ministre,1954,georges simenon,maigret chez le ministre,True,male,1989,canon
1954_Delly_L'orgueil-dompte,1954,delly,l'orgueil dompte,False,female,1947,non-canon
1954_Veuzit-Max-du_Mirages,1954,max du veuzit,mirages,False,female,1952,non-canon
1954_San-Antonio_Bas-les-pattes,1954,antonio san,bas les pattes,False,male,2000,non-canon
1954_Beauvoir-Simone-de_Les-Mandarins_2,1954,simone de beauvoir,les mandarins,True,female,1986,canon
1954_San-Antonio_Messieurs-les-hommes,1954,antonio san,messieurs les hommes,False,male,2000,non-canon
1954_San-Antonio_J-ai-bien-l-honneur-de-vous-buter,1954,antonio san,j ai bien l honneur de vous buter,False,male,2000,non-canon
1954_San-Antonio_Rue-des-macchabees,1954,antonio san,rue des macchabees,False,male,2000,non-canon
1954_Delly_La-fee-de-Kermoal,1954,delly,la fee de kermoal,False,female,1947,non-canon
1954_Simonin-Albert_Le-cave-se-rebiffe,1954,albert simonin,le cave se rebiffe,False,male,1980,non-canon
1954_Delly_L'heritier-des-ducs-de-Sailles,1954,delly,l'heritier des ducs de sailles,False,female,1947,non-canon
1954_Sagan-Françoise_Bonjour-tristesse,1954,françoise sagan,bonjour tristesse,False,female,2004,non-canon
1954_Veuzit-Max-du_L'amour-releve-le-gant,1954,max du veuzit,l'amour releve le gant,False,female,1952,non-canon
1954_San-Antonio_Deuil-express,1954,antonio san,deuil express,False,male,2000,non-canon
1954_Reage-Pauline_Histoire-d-O,1954,pauline reage,histoire d o,True,female,1998,canon
1954_San-Antonio_Du-mouron-a-se-faire,1954,antonio san,du mouron a se faire,False,male,2000,non-canon
1954_Cohen-Albert_Le-livre-de-ma-mere,1954,albert cohen,le livre de ma mere,True,male,1981,canon
1954_San-Antonio_C-est-mort-et-ça-ne-sait-pas,1954,antonio san,c est mort et ça ne sait pas,False,male,2000,non-canon
1954_San-Antonio_Serenade-pour-une-souris-defunte,1954,antonio san,serenade pour une souris defunte,False,male,2000,non-canon
1954_Beauvoir-Simone-de_Les-Mandarins_1,1954,simone de beauvoir,les mandarins,True,female,1986,canon
1954_Simon-Claude_Le-sacre-du-printemps,1954,claude simon,le sacre du printemps,True,male,2005,canon
1954_Simenon-Georges_Maigret-et-la-jeune-morte,1954,georges simenon,maigret et la jeune morte,True,male,1989,canon
1954_San-Antonio_Passez-moi-la-Joconde,1954,antonio san,passez moi la joconde,False,male,2000,non-canon
1954_Delly_Aelys-aux-cheveux-d'or,1954,delly,aelys aux cheveux d'or,False,female,1947,non-canon
1955_Veuzit-Max-du_A-l'ombre-d'un-coeur,1955,max du veuzit,a l'ombre d'un coeur,False,female,1952,non-canon
1955_Delly_Pour-l'amour-d'Ourida,1955,delly,pour l'amour d'ourida,False,female,1947,non-canon
1955_Delly_Le-roi-aux-yeux-de-reve,1955,delly,le roi aux yeux de reve,False,female,1947,non-canon
1955_Simonin-Albert_Grisbi-or-not-grisbi,1955,albert simonin,grisbi or not grisbi,False,male,1980,non-canon
1955_Ikor-Roger_Les-eaux-melees,1955,roger ikor,les eaux melees,False,male,1986,non-canon
1955_Simenon-Georges_Maigret-et-le-corps-sans-tete,1955,georges simenon,maigret et le corps sans tete,True,male,1989,canon
1955_San-Antonio_Le-fil-a-couper-le-beurre,1955,antonio san,le fil a couper le beurre,False,male,2000,non-canon
1955_Robbe-Grillet-Alain_Le-Voyeur,1955,grillet alain robbe,le voyeur,True,male,2008,canon
1955_Simenon-Georges_Maigret-tend-un-piege,1955,georges simenon,maigret tend un piege,True,male,1989,canon
1955_Delly_Salvatore-Falnerra,1955,delly,salvatore falnerra,False,female,1947,non-canon
1955_Dhotel-Andre_Le-pays-ou-l-on-n-arrive-jamais,1955,andre dhotel,le pays ou l on n arrive jamais,True,male,1991,canon
1955_Delly_Ourida,1955,delly,ourida,False,female,1947,non-canon
1956_San-Antonio_Au-suivant-de-ces-messieurs,1956,antonio san,au suivant de ces messieurs,False,male,2000,non-canon
1956_Delly_La-biche-au-bois,1956,delly,la biche au bois,False,female,1947,non-canon
1956_Delly_La-maison-dans-la-foret,1956,delly,la maison dans la foret,False,female,1947,non-canon
1956_San-Antonio_Fais-gaffe-a-tes-os,1956,antonio san,fais gaffe a tes os,False,male,2000,non-canon
1956_San-Antonio_Les-doigts-dans-le-nez,1956,antonio san,les doigts dans le nez,False,male,2000,non-canon
1956_Delly_Annonciade,1956,delly,annonciade,False,female,1947,non-canon
1956_San-Antonio_Ca-tourne-au-vinaigre,1956,antonio san,ca tourne au vinaigre,False,male,2000,non-canon
1956_Simenon-Georges_Un-echec-de-Maigret,1956,georges simenon,un echec de maigret,True,male,1989,canon
1956_Magali_Saison-perdue,1956,magali,saison perdue,False,female,1986,non-canon
1956_Malet-Leo_Corrida-aux-Champs-Elysees,1956,leo malet,corrida aux champs elysees,False,male,1996,non-canon
1956_Delly_Hoelle-aux-yeux-pers,1956,delly,hoelle aux yeux pers,False,female,1947,non-canon
1956_Sagan-Françoise_Un-certain-sourire,1956,françoise sagan,un certain sourire,False,female,2004,non-canon
1956_San-Antonio_Des-gueules-d-enterrement,1956,antonio san,des gueules d enterrement,False,male,2000,non-canon
1956_Thomas-Henri_La-nuit-de-Londres,1956,henri thomas,la nuit de londres,True,male,1993,canon
1956_San-Antonio_a-tu-et-a-toi,1956,antonio san,a tu et a toi,False,male,2000,non-canon
1956_Gary-Romain_Les-Racines-du-Ciel,1956,romain gary,les racines du ciel,True,male,1980,canon
1957_Delly_Le-sphinx-d'emeraude,1957,delly,le sphinx d'emeraude,False,female,1947,non-canon
1957_Malet-Leo_Boulevard-ossements,1957,leo malet,boulevard ossements,False,male,1996,non-canon
1957_San-Antonio_La-tombola-des-voyous,1957,antonio san,la tombola des voyous,False,male,2000,non-canon
1957_Celine-Louis-Ferdinand_D-un-chateau-L-autre,1957,louis ferdinand celine,d un chateau l autre,True,male,1961,canon
1957_Pagnol-Marcel_La-Gloire-de-mon-pere,1957,marcel pagnol,la gloire de mon pere,False,male,1974,non-canon
1957_Vailland-Roger_La-Loi,1957,roger vailland,la loi,False,male,1965,non-canon
1957_San-Antonio_Les-anges-se-font-plumer,1957,antonio san,les anges se font plumer,False,male,2000,non-canon
1957_San-Antonio_J-ai-peur-des-mouches,1957,antonio san,j ai peur des mouches,False,male,2000,non-canon
1957_Nemirovsky-Irene_Les-Feux-de-l-automne,1957,irene nemirovsky,les feux de l automne,False,female,1942,non-canon
1957_Simenon-Georges_Maigret-voyage,1957,georges simenon,maigret voyage,True,male,1989,canon
