character,gender
Volodine-Antoine_Le-nom-des-singes_<moi-1536>,Male
Volodine-Antoine_Le-nom-des-singes_<Je-2470>,Male
Volodine-Antoine_Le-nom-des-singes_<Rui Gutierrez-413>,Male
Volodine-Antoine_Le-nom-des-singes_<la Chikraya-691>,Female
Volodine-Antoine_Le-nom-des-singes_<me-273>,Male
Volodine-Antoine_Le-nom-des-singes_<Fabian-1763>,Male
Volodine-Antoine_Le-nom-des-singes_<j'-1017>,Male
Volodine-Antoine_Le-nom-des-singes_<un milicien-612>,Male
Volodine-Antoine_Le-nom-des-singes_<Le psychiatre-1854>,Male
Volodine-Antoine_Le-nom-des-singes_<Manda-190>,Female
Tournier-Michel_Gilles-et-Jeanne_<Jeanne-291>,Female
Tournier-Michel_Gilles-et-Jeanne_<Gilles de Rais-1374>,Male
Tournier-Michel_Gilles-et-Jeanne_<Jeanne Peynel-133>,Female
Tournier-Michel_Gilles-et-Jeanne_<Blanchet-702>,Male
Tournier-Michel_Gilles-et-Jeanne_<Gilles de Rais-922>,Male
Tournier-Michel_Gilles-et-Jeanne_<au Dauphin-40>,Female
Tournier-Michel_Gilles-et-Jeanne_<Gilles-511>,Male
Tournier-Michel_Gilles-et-Jeanne_<un artisan - peintre en renom-592>,Male
Tournier-Michel_Gilles-et-Jeanne_<Blanchet-1023>,Male
Tournier-Michel_Gilles-et-Jeanne_<Gilles de Rais-1279>,Male
Bealu-Marcel_L-Araignee-d-eau_<Je-1>,Male
Bealu-Marcel_L-Araignee-d-eau_<je-687>,Male
"Bealu-Marcel_L-Araignee-d-eau_<un petit homme , coiffé d' un melon gris clair-431>",Male
Bealu-Marcel_L-Araignee-d-eau_<- je-1079>,Female
Bealu-Marcel_L-Araignee-d-eau_<Je-1189>,Male
Bealu-Marcel_L-Araignee-d-eau_<Je-325>,Female
Bealu-Marcel_L-Araignee-d-eau_<- tu-339>,Female
Bealu-Marcel_L-Araignee-d-eau_<un pauvre homme de célibataire-1002>,Male
Bealu-Marcel_L-Araignee-d-eau_<Duval-1129>,Male
Bealu-Marcel_L-Araignee-d-eau_<Adélaïde-771>,Female
Dumas-Alexandre_Aventures-de-Lyderic_<Phinard-564>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<Gunther-971>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<un homme-206>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<au prince de Buck-482>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<un vieil anachorète-65>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<Lyderic-141>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<le prince de Buck-399>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<Brunehilde-1131>,Female
Dumas-Alexandre_Aventures-de-Lyderic_<un cavalier richement vêtu-317>,Male
Dumas-Alexandre_Aventures-de-Lyderic_<- il-1100>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<don Torribio Moreno-2522>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<quel-1764>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<le capitaine Barthélemy-2310>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<don José Rivas de Figueroa-2789>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<l' Olonnais-2411>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<doña Elmina-1576>,Female
Aimard-Gustave_Ourson-Tete-de-Fer_<Le capitaine-2119>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<le capitaine Ourson-1966>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<au capitaine-2217>,Male
Aimard-Gustave_Ourson-Tete-de-Fer_<doña Elmina-2073>,Female
Giono-Jean_Batailles-dans-la-montagne_<Marie Dur-2454>,Female
Giono-Jean_Batailles-dans-la-montagne_<je-5125>,Female
Giono-Jean_Batailles-dans-la-montagne_<Saint - Jean-5854>,Female
Giono-Jean_Batailles-dans-la-montagne_<Boromé-3989>,Male
Giono-Jean_Batailles-dans-la-montagne_<il-1826>,Male
Giono-Jean_Batailles-dans-la-montagne_<on-6803>,Male
Giono-Jean_Batailles-dans-la-montagne_<Saint - Jean-2233>,Male
Giono-Jean_Batailles-dans-la-montagne_<Bourrache-1307>,Male
Giono-Jean_Batailles-dans-la-montagne_<vous-6862>,Male
Giono-Jean_Batailles-dans-la-montagne_<l' homme arrêté sur une petite estrade de rocher-2855>,Male
Orsenna-Erik_L-exposition-coloniale_<Vous-4426>,Male
Orsenna-Erik_L-exposition-coloniale_<j'-1810>,Male
Orsenna-Erik_L-exposition-coloniale_<moi-1097>,Female
Orsenna-Erik_L-exposition-coloniale_<Gabriel-2014>,Male
Orsenna-Erik_L-exposition-coloniale_<Gabriel-2900>,Female
Orsenna-Erik_L-exposition-coloniale_<Le Français libre Orsenna-9246>,Male
Orsenna-Erik_L-exposition-coloniale_<Louis-1311>,Male
Orsenna-Erik_L-exposition-coloniale_<celui qui-11438>,Male
Orsenna-Erik_L-exposition-coloniale_<je-7988>,Male
Troyat-Henri_Les-compagnons-du-coquelicot_<M . de Lambrefoux-3545>,Male
Troyat-Henri_Les-compagnons-du-coquelicot_<Delphine-1971>,Female
Troyat-Henri_Les-compagnons-du-coquelicot_<Michel Borissovitch-5824>,Male
Troyat-Henri_Les-compagnons-du-coquelicot_<Sophie-5630>,Female
Troyat-Henri_Les-compagnons-du-coquelicot_<Dieu-5418>,Female
Troyat-Henri_Les-compagnons-du-coquelicot_<l' empereur-4779>,Male
Troyat-Henri_Les-compagnons-du-coquelicot_<Sophie-3823>,Female
Troyat-Henri_Les-compagnons-du-coquelicot_<Nicolas-4071>,Male
Troyat-Henri_Les-compagnons-du-coquelicot_<Roznikoff-979>,Male
Troyat-Henri_Les-compagnons-du-coquelicot_<Une silhouette féminine-1595>,Male
San-Antonio_On-t-enverra-du-monde_<Je-471>,Female
San-Antonio_On-t-enverra-du-monde_<Elle-1389>,Female
San-Antonio_On-t-enverra-du-monde_<mon interlocutrice-2178>,Female
San-Antonio_On-t-enverra-du-monde_<M . Houquetupioge fils-1285>,Female
San-Antonio_On-t-enverra-du-monde_<Le coiffeur-2025>,Male
